Source File,alm_component,reg_component,dsp_component,ram_component,mlab_component,alm_system,reg_system,dsp_system,ram_system,mlab_system,clock,clock1x,Total On-Chip Power Dissipation (mW),Core Dynamic On-Chip Power Dissipation (mW),Device Static On-Chip Power Dissipation (mW)
aes_tableless_1,95733.9,201561,0,13,2178,95733.9,201561,0,13,2178,270.49,270.49,18263.23,12016.06,6807.13
aes_tableless_17,95732.7,199296,0,16,2181,95732.7,199296,0,16,2181,271.81,271.81,18048.77,11802.04,6806.49
aes_tableless_12,103351.7,213694,0,28,2369,103351.7,213694,0,28,2369,237.7,237.7,18854.98,12602.77,6813.97
aes_tableless_2,94429.6,202543,0,17,2166,94429.6,202543,0,17,2166,266.6,266.6,18117.34,11869.93,6807.41
aes_tableless_18,94420.9,197049,0,19,2160,94420.9,197049,0,19,2160,257.27,257.27,17869.81,11623.25,6806.24
aes_tableless_9,95644.9,199746,0,14,2179,95644.9,199746,0,14,2179,267.38,267.38,17985.25,11738.67,6806.3
aes_tableless_19,104755.7,214919,0,26,2385,104755.7,214919,0,26,2385,230.68,230.68,18907.97,12654.73,6815.42
aes_tableless_10,95083.6,199254,0,18,2162,95083.6,199254,0,18,2162,268.1,268.1,18066.2,11819.03,6807.08
aes_tableless_20,103548.3,213937,0,29,2367,103548.3,213937,0,29,2367,245.1,245.1,18775.87,12523.23,6814.57
aes_tableless_5,115458.6,235573,0,36,2724,115458.6,235573,0,36,2724,245.76,245.76,20781.7,14519.95,6827.11
aes_tableless_24,155397.4,313931,0,83,3328,155397.4,313931,0,83,3328,228.62,228.62,25197.72,18912.45,6859.29
aes_tableless_15,149419.4,296270,0,66,3277,149419.4,296270,0,66,3277,223.11,223.11,24294.83,18014.06,6853.19
aes_tableless_25,92892.1,194558,0,20,2098,92892.1,194558,0,20,2098,237.87,237.87,17623.76,11378.10,6804.98
