Source File,alm_component,reg_component,dsp_component,ram_component,mlab_component,alm_system,reg_system,dsp_system,ram_system,mlab_system,clock,clock1x,Total On-Chip Power Dissipation (mW),Core Dynamic On-Chip Power Dissipation (mW),Device Static On-Chip Power Dissipation (mW)
bfs_bulk_1,7872.8,16512,0,42,143,7872.8,16512,0,42,143,344.83,344.83,4123.07,1187.4,2906.79
bfs_bulk_2,12525.7,27060,0,70,202,12525.7,27060,0,70,202,374.53,374.53,4837.0,1899.25,2908.88
bfs_bulk_3,17330.3,33284,0,138,245,17330.3,33284,0,138,245,316.66,316.66,5529.39,2589.16,2911.35
bfs_bulk_4,29032.4,53608,0,279,408,29032.4,53608,0,279,408,252.78,252.78,7469.72,4522.64,2918.2
bfs_bulk_5,50386.3,97710,0,611,669,50386.3,97710,0,611,669,239.87,239.87,11410.21,8449.31,2932.03
bfs_bulk_6,8520.1,17676,0,46,151,8520.1,17676,0,46,151,365.63,365.63,4220.04,1284.09,2907.07
bfs_bulk_7,13083.1,27466,0,78,210,13083.1,27466,0,78,210,369.96,369.96,4938.04,2000.0,2909.16
bfs_bulk_8,18269.7,34242,0,154,253,18269.7,34242,0,154,253,312.5,312.5,5775.13,2834.17,2912.08
bfs_bulk_9,30256.9,56105,0,311,416,30256.9,56105,0,311,416,270.49,270.49,7880.02,4931.96,2919.17
bfs_bulk_10,52765.2,101302,0,675,677,52765.2,101302,0,675,677,249.13,249.13,12167.68,9205.32,2933.47
bfs_bulk_11,9245.3,20523,0,54,167,9245.3,20523,0,54,167,381.97,381.97,4426.06,1489.6,2907.58
bfs_bulk_12,14189.3,29140,0,94,226,14189.3,29140,0,94,226,359.84,359.84,5181.81,2243.05,2909.88
bfs_bulk_13,19717.8,38414,0,186,269,19717.8,38414,0,186,269,322.89,322.89,6257.03,3315.06,2913.09
bfs_bulk_14,32540.5,61190,0,375,432,32540.5,61190,0,375,432,272.63,272.63,8692.03,5741.85,2921.3
bfs_bulk_15,55497.8,112257,0,803,693,55497.8,112257,0,803,693,244.02,244.02,13729.3,10762.76,2937.66
bfs_bulk_16,11345.1,22351,0,70,199,11345.1,22351,0,70,199,333.11,333.11,4728.39,1790.77,2908.74
bfs_bulk_17,16648.7,32979,0,126,258,16648.7,32979,0,126,258,367.65,367.65,5655.8,2715.39,2911.53
bfs_bulk_18,22816.4,45571,0,250,301,22816.4,45571,0,250,301,311.82,311.82,7151.48,4206.35,2916.25
bfs_bulk_19,35722.0,71049,0,503,464,35722.0,71049,0,503,464,265.39,265.39,10221.77,7267.54,2925.35
bfs_bulk_20,63717.6,122757,0,1059,725,63717.6,122757,0,1059,725,234.14,234.14,18146.29,15172.77,2944.64
bfs_bulk_21,16296.6,34821,0,38,391,16296.6,34821,0,38,391,374.81,374.81,5468.71,2528.64,2911.19
bfs_bulk_22,23892.2,47336,0,62,578,23892.2,47336,0,62,578,341.53,341.53,6344.36,3400.18,2915.3
bfs_bulk_23,34852.4,70972,0,122,877,34852.4,70972,0,122,877,287.44,287.44,8195.13,5245.1,2921.15
bfs_bulk_24,57520.4,121199,0,247,1552,57520.4,121199,0,247,1552,274.2,274.2,12275.31,9310.87,2935.56
bfs_bulk_25,105891.9,220137,0,547,2837,105891.9,220137,0,547,2837,236.35,236.35,19924.62,16932.57,2963.17
bfs_bulk_26,7872.8,16512,0,42,143,7872.8,16512,0,42,143,344.83,344.83,4123.07,1187.4,2906.79
bfs_bulk_61,9245.3,20523,0,54,167,9245.3,20523,0,54,167,381.97,381.97,4426.06,1489.6,2907.58
bfs_bulk_27,12525.7,27060,0,70,202,12525.7,27060,0,70,202,374.53,374.53,4837.0,1899.25,2908.88
bfs_bulk_62,14189.3,29140,0,94,226,14189.3,29140,0,94,226,359.84,359.84,5181.81,2243.05,2909.88
bfs_bulk_28,17330.3,33284,0,138,245,17330.3,33284,0,138,245,316.66,316.66,5529.39,2589.16,2911.35
bfs_bulk_63,19717.8,38414,0,186,269,19717.8,38414,0,186,269,322.89,322.89,6257.03,3315.06,2913.09
bfs_bulk_29,29032.4,53608,0,279,408,29032.4,53608,0,279,408,252.78,252.78,7469.72,4522.64,2918.2
bfs_bulk_64,32540.5,61190,0,375,432,32540.5,61190,0,375,432,272.63,272.63,8692.03,5741.85,2921.3
bfs_bulk_31,8520.1,17676,0,46,151,8520.1,17676,0,46,151,365.63,365.63,4220.04,1284.09,2907.07
bfs_bulk_32,13083.1,27466,0,78,210,13083.1,27466,0,78,210,369.96,369.96,4938.04,2000.0,2909.16
bfs_bulk_66,11345.1,22351,0,70,199,11345.1,22351,0,70,199,333.11,333.11,4728.39,1790.77,2908.74
bfs_bulk_67,16648.7,32979,0,126,258,16648.7,32979,0,126,258,367.65,367.65,5655.8,2715.39,2911.53
bfs_bulk_33,18269.7,34242,0,154,253,18269.7,34242,0,154,253,312.5,312.5,5775.13,2834.17,2912.08
bfs_bulk_68,22816.4,45571,0,250,301,22816.4,45571,0,250,301,311.82,311.82,7151.48,4206.35,2916.25
bfs_bulk_34,30256.9,56105,0,311,416,30256.9,56105,0,311,416,270.49,270.49,7880.02,4931.96,2919.17
bfs_bulk_69,35722.0,71049,0,503,464,35722.0,71049,0,503,464,265.39,265.39,10221.77,7267.54,2925.35
bfs_bulk_36,9245.3,20523,0,54,167,9245.3,20523,0,54,167,381.97,381.97,4426.06,1489.6,2907.58
bfs_bulk_37,14189.3,29140,0,94,226,14189.3,29140,0,94,226,359.84,359.84,5181.81,2243.05,2909.88
bfs_bulk_71,16296.6,34821,0,38,391,16296.6,34821,0,38,391,374.81,374.81,5468.71,2528.64,2911.19
bfs_bulk_38,19717.8,38414,0,186,269,19717.8,38414,0,186,269,322.89,322.89,6257.03,3315.06,2913.09
bfs_bulk_72,23892.2,47336,0,62,578,23892.2,47336,0,62,578,341.53,341.53,6344.36,3400.18,2915.3
bfs_bulk_73,34852.4,70972,0,122,877,34852.4,70972,0,122,877,287.44,287.44,8195.13,5245.1,2921.15
bfs_bulk_41,11345.1,22351,0,70,199,11345.1,22351,0,70,199,333.11,333.11,4728.39,1790.77,2908.74
bfs_bulk_42,16648.7,32979,0,126,258,16648.7,32979,0,126,258,367.65,367.65,5655.8,2715.39,2911.53
bfs_bulk_43,22816.4,45571,0,250,301,22816.4,45571,0,250,301,311.82,311.82,7151.48,4206.35,2916.25
bfs_bulk_76,7872.8,16512,0,42,143,7872.8,16512,0,42,143,344.83,344.83,4123.07,1187.4,2906.79
bfs_bulk_77,12525.7,27060,0,70,202,12525.7,27060,0,70,202,374.53,374.53,4837.0,1899.25,2908.88
bfs_bulk_78,17330.3,33284,0,138,245,17330.3,33284,0,138,245,316.66,316.66,5529.39,2589.16,2911.35
bfs_bulk_46,16296.6,34821,0,38,391,16296.6,34821,0,38,391,374.81,374.81,5468.71,2528.64,2911.19
bfs_bulk_79,29032.4,53608,0,279,408,29032.4,53608,0,279,408,252.78,252.78,7469.72,4522.64,2918.2
bfs_bulk_47,23892.2,47336,0,62,578,23892.2,47336,0,62,578,341.53,341.53,6344.36,3400.18,2915.3
bfs_bulk_48,34852.4,70972,0,122,877,34852.4,70972,0,122,877,287.44,287.44,8195.13,5245.1,2921.15
bfs_bulk_81,8520.1,17676,0,46,151,8520.1,17676,0,46,151,365.63,365.63,4220.04,1284.09,2907.07
bfs_bulk_82,13083.1,27466,0,78,210,13083.1,27466,0,78,210,369.96,369.96,4938.04,2000.0,2909.16
bfs_bulk_83,18269.7,34242,0,154,253,18269.7,34242,0,154,253,312.5,312.5,5775.13,2834.17,2912.08
bfs_bulk_84,30256.9,56105,0,311,416,30256.9,56105,0,311,416,270.49,270.49,7880.02,4931.96,2919.17
bfs_bulk_51,7872.8,16512,0,42,143,7872.8,16512,0,42,143,344.83,344.83,4123.07,1187.4,2906.79
bfs_bulk_52,12525.7,27060,0,70,202,12525.7,27060,0,70,202,374.53,374.53,4837.0,1899.25,2908.88
bfs_bulk_53,17330.3,33284,0,138,245,17330.3,33284,0,138,245,316.66,316.66,5529.39,2589.16,2911.35
bfs_bulk_86,9245.3,20523,0,54,167,9245.3,20523,0,54,167,381.97,381.97,4426.06,1489.6,2907.58
bfs_bulk_54,29032.4,53608,0,279,408,29032.4,53608,0,279,408,252.78,252.78,7469.72,4522.64,2918.2
bfs_bulk_87,14189.3,29140,0,94,226,14189.3,29140,0,94,226,359.84,359.84,5181.81,2243.05,2909.88
bfs_bulk_88,19717.8,38414,0,186,269,19717.8,38414,0,186,269,322.89,322.89,6257.03,3315.06,2913.09
bfs_bulk_56,8520.1,17676,0,46,151,8520.1,17676,0,46,151,365.63,365.63,4220.04,1284.09,2907.07
bfs_bulk_89,32540.5,61190,0,375,432,32540.5,61190,0,375,432,272.63,272.63,8692.03,5741.85,2921.3
