Source File,Function Name,ALUTs ,FFs  ,RAMs ,DSPs ,MLABs
sort_radix_1,ss_sort,21253,29322,124,0,514
sort_radix_2,ss_sort,45702,64526,204,0,1266
sort_radix_3,ss_sort,86079,121876,422,0,2344
sort_radix_1,ss_sort,21253,29322,124,0,514
sort_radix_2,ss_sort,45702,64526,204,0,1266
sort_radix_3,ss_sort,86079,121876,422,0,2344
sort_radix_4,ss_sort,172096,245364,956,0,4134
sort_radix_5,ss_sort,375766,550996,2072,0,7864
sort_radix_6,ss_sort,21253,29322,124,0,514
sort_radix_7,ss_sort,45702,64526,204,0,1266
sort_radix_176,ss_sort,10850,18171,46,0,198
sort_radix_1,ss_sort,14020,19254,46,0,372
sort_radix_351,ss_sort,10850,18171,62,0,198
sort_radix_526,ss_sort,10850,18171,94,0,198
sort_radix_352,ss_sort,14520,26877,62,0,286
sort_radix_2,ss_sort,23751,32976,50,0,576
sort_radix_177,ss_sort,21812,30434,63,0,583
sort_radix_527,ss_sort,14516,26877,94,0,286
sort_radix_528,ss_sort,21087,40975,94,0,394
sort_radix_3,ss_sort,42807,54766,66,0,948
sort_radix_353,ss_sort,37379,49944,95,0,947
sort_radix_178,ss_sort,41759,54402,68,0,948
sort_radix_4,ss_sort,91855,101410,104,0,1710
sort_radix_354,ss_sort,84902,99356,108,0,1704
sort_radix_179,ss_sort,89488,100834,102,0,1708
sort_radix_529,ss_sort,73546,90302,159,0,1681
sort_radix_355,ss_sort,177360,191119,182,0,3213
sort_radix_530,ss_sort,167900,187915,194,0,3201
sort_radix_180,ss_sort,195691,196471,186,0,3239
sort_radix_5,ss_sort,233529,206996,214,0,3314
sort_radix_356,ss_sort,16781,30404,62,0,369
sort_radix_181,ss_sort,16781,30404,46,0,369
sort_radix_531,ss_sort,16781,30404,94,0,369
sort_radix_6,ss_sort,18673,28737,46,0,575
sort_radix_357,ss_sort,20451,39110,62,0,457
sort_radix_182,ss_sort,26463,39917,63,0,786
sort_radix_532,ss_sort,20447,39110,94,0,457
sort_radix_7,ss_sort,28404,42459,50,0,779
sort_radix_533,ss_sort,27019,53208,94,0,565
sort_radix_358,ss_sort,42034,59427,95,0,1150
sort_radix_183,ss_sort,46413,63885,68,0,1151
sort_radix_8,ss_sort,47460,64249,66,0,1151
sort_radix_184,ss_sort,94143,110317,102,0,1911
sort_radix_359,ss_sort,89555,108839,108,0,1907
sort_radix_534,ss_sort,78197,99785,159,0,1884
sort_radix_9,ss_sort,96506,110893,104,0,1913
sort_radix_360,ss_sort,182535,200931,182,0,3427
sort_radix_185,ss_sort,200864,206283,186,0,3453
sort_radix_535,ss_sort,173074,197727,194,0,3415
sort_radix_10,ss_sort,238183,216479,214,0,3517
sort_radix_186,ss_sort,30163,61292,46,0,710
sort_radix_361,ss_sort,28406,52010,72,0,1021
sort_radix_536,ss_sort,26751,51301,104,0,976
sort_radix_11,ss_sort,27913,50962,46,0,1009
sort_radix_362,ss_sort,33834,69998,62,0,798
sort_radix_187,ss_sort,35703,62142,63,0,1220
sort_radix_537,ss_sort,33830,69998,94,0,798
sort_radix_12,ss_sort,37642,64684,50,0,1213
sort_radix_188,ss_sort,55652,86110,68,0,1585
sort_radix_363,ss_sort,51275,81652,95,0,1584
sort_radix_538,ss_sort,40402,84096,94,0,906
sort_radix_13,ss_sort,56700,86474,66,0,1585
sort_radix_189,ss_sort,103387,132542,102,0,2345
sort_radix_364,ss_sort,98796,131064,108,0,2341
sort_radix_539,ss_sort,87433,122010,159,0,2318
sort_radix_14,ss_sort,105746,133118,104,0,2347
sort_radix_365,ss_sort,191772,223156,182,0,3861
sort_radix_190,ss_sort,210103,228508,186,0,3887
sort_radix_540,ss_sort,182313,219952,194,0,3849
sort_radix_191,ss_sort,52805,121511,56,0,2376
sort_radix_15,ss_sort,247422,238704,214,0,3951
sort_radix_366,ss_sort,52805,121511,72,0,2376
sort_radix_541,ss_sort,52805,121511,104,0,2376
sort_radix_16,ss_sort,52312,120463,46,0,2364
sort_radix_367,ss_sort,74175,172164,62,0,1812
sort_radix_192,ss_sort,60103,131643,63,0,2575
sort_radix_542,ss_sort,60545,132301,116,0,2582
